                          name     before      after      delta
           us-east-2b-i3.large      39.75     101.09      61.34
           us-east-2a-i3.large      40.17     101.09      60.92
          us-west-2b-i3.xlarge     141.71     202.18      60.47
           us-east-1b-i3.large      53.60     112.19      58.59
           us-west-2c-i3.large      44.85     101.09      56.23
          us-east-1a-r4.xlarge      99.51     154.37      54.86
           us-west-2b-i3.large      46.81     101.09      54.28
          us-west-1b-r4.xlarge     101.05     154.36      53.31
         us-west-1b-c4.2xlarge     240.10     289.50      49.40
           us-east-1a-r4.large      53.37     102.65      49.28
          us-west-2b-p2.xlarge     662.86     710.40      47.54
          us-west-1b-c4.xlarge      82.46     126.01      43.55
         us-west-2b-m2.4xlarge     170.51     211.68      41.17
          us-west-1a-c4.xlarge      82.56     122.24      39.68
         us-east-2c-m4.2xlarge     116.36     153.36      37.00
         us-east-2b-m4.2xlarge     116.56     153.36      36.80
         us-west-2c-m2.4xlarge     175.29     211.68      36.39
         us-east-2a-m4.2xlarge     117.45     153.82      36.37
         us-west-2b-m3.2xlarge     214.20     249.49      35.30
         us-east-1a-m4.2xlarge     247.65     282.88      35.24
         us-east-1a-i2.2xlarge    1069.76    1104.84      35.08
         us-west-2c-r4.2xlarge     271.36     306.22      34.86
          us-east-2b-r3.xlarge      84.18     118.95      34.78
          us-west-2a-i3.xlarge     177.80     211.85      34.06
          us-west-2b-r3.xlarge     105.35     138.83      33.47
         us-west-2a-m3.2xlarge     220.07     253.08      33.02
          us-west-1b-r3.xlarge     120.27     152.16      31.89
          us-west-2a-m3.xlarge      96.65     128.34      31.70
         us-east-2b-c4.4xlarge     285.57     317.07      31.49
          us-west-2b-m3.xlarge      96.40     127.38      30.98
          us-west-2c-m3.xlarge      96.80     127.63      30.83
          us-west-1a-c3.xlarge     102.77     133.36      30.59
           us-west-1b-m4.large      40.43      70.98      30.55
         us-east-2c-r4.4xlarge     291.44     321.63      30.19
         us-east-1a-i2.8xlarge    4389.23    4419.36      30.13
           us-west-1a-m4.large      39.58      68.60      29.03
         us-east-2a-r4.4xlarge     294.18     321.90      27.72
         us-west-2a-m2.4xlarge     184.18     211.68      27.50
         us-west-2a-m2.2xlarge      90.54     117.55      27.01
           us-west-1a-r4.large      43.97      70.16      26.18
          us-west-2a-r3.xlarge     110.16     135.57      25.41
        us-east-2a-r4.16xlarge    1264.90    1289.90      25.00
         us-west-2c-m3.2xlarge     223.29     247.98      24.69
         us-east-2c-c4.4xlarge     281.92     306.29      24.37
         us-east-1b-c3.2xlarge     234.86     258.94      24.08
          us-east-2c-c4.xlarge      59.80      83.22      23.42
         us-east-2a-r4.2xlarge     137.54     160.70      23.17
          us-west-1b-m3.xlarge      96.49     119.23      22.74
          us-west-1a-m4.xlarge     111.43     134.00      22.57
         us-east-2a-c4.4xlarge     282.87     305.32      22.45
         us-west-2b-r3.4xlarge     626.42     648.82      22.40
          us-west-2c-r3.xlarge     134.09     156.39      22.30
          us-west-1a-m3.xlarge      96.73     118.37      21.64
          us-east-2b-c4.xlarge      59.58      80.93      21.35
         us-east-2c-r4.2xlarge     139.70     160.70      21.01
          us-west-2c-c3.xlarge     115.10     135.98      20.89
          us-west-2b-c3.xlarge     115.79     136.49      20.70
         us-west-2c-m2.2xlarge      85.43     106.07      20.64
         us-west-1b-c4.8xlarge    1096.62    1117.06      20.44
          us-east-1b-c3.xlarge      98.25     118.30      20.05
         us-east-1b-g2.2xlarge     445.76     465.66      19.90
           us-west-1b-c4.large      39.46      59.19      19.74
         us-west-2b-r4.2xlarge     320.57     340.26      19.69
          us-east-2c-m4.xlarge      57.74      76.68      18.94
          us-east-2b-m4.xlarge      58.29      76.68      18.39
         us-west-1a-m3.2xlarge     255.54     273.91      18.36
        us-east-2b-r4.16xlarge    1267.73    1286.06      18.33
           us-east-1b-c3.large      41.12      58.99      17.87
          us-west-1b-m2.xlarge      41.61      59.40      17.79
          us-west-1b-c3.xlarge     102.12     119.61      17.50
          us-east-2a-c4.xlarge      61.60      78.91      17.31
          us-west-2a-c3.xlarge     115.42     132.68      17.26
           us-west-1a-c4.large      42.34      59.38      17.03
           us-west-1a-c3.large      41.86      58.51      16.65
          us-west-1b-m4.xlarge     108.10     124.59      16.49
          us-east-2a-m4.xlarge      60.80      76.96      16.17
          us-east-2c-r4.xlarge      64.47      80.35      15.88
           us-west-1b-r4.large      50.72      66.03      15.31
          us-east-2a-r4.xlarge      65.55      80.35      14.80
          us-west-1a-r3.xlarge     117.57     132.19      14.62
           us-west-1b-c3.large      42.37      56.96      14.59
          us-east-2b-r4.xlarge      66.42      80.35      13.94
         us-east-2c-c4.2xlarge     145.71     159.25      13.54
          us-west-2c-m2.xlarge      39.80      52.92      13.12
           us-west-2a-c4.large      49.17      61.99      12.83
         us-east-2b-c4.2xlarge     145.69     158.51      12.82
           us-west-2b-c4.large      49.22      61.99      12.77
         us-west-2b-m2.2xlarge      93.12     105.87      12.74
          us-west-2a-m2.xlarge      40.42      52.92      12.50
         us-east-2b-r4.4xlarge     309.26     321.69      12.43
           us-west-2c-c4.large      49.74      61.99      12.26
         us-west-1b-m2.2xlarge     106.60     118.80      12.20
         us-east-1a-m4.4xlarge     514.85     525.71      10.85
           us-east-1b-c4.large      51.25      61.99      10.75
          us-west-2b-m2.xlarge      42.28      52.92      10.64
         us-east-2a-c4.2xlarge     146.42     157.01      10.59
          us-east-1b-c4.xlarge     114.41     124.16       9.74
           us-east-2a-m4.large      32.48      42.21       9.73
          us-east-1a-m4.xlarge     124.40     134.09       9.69
           us-east-2b-c4.large      32.45      42.11       9.66
           us-west-2b-m3.large      52.47      61.99       9.52
           us-east-2c-c4.large      32.90      42.39       9.48
           us-west-2c-m3.large      52.52      61.99       9.47
           us-west-2a-m3.large      52.56      61.99       9.43
         us-west-2c-g2.2xlarge     565.00     573.87       8.87
          us-west-1a-m1.xlarge      73.25      81.86       8.62
         us-west-1b-m3.2xlarge     240.48     249.06       8.58
           us-east-1a-m4.large      56.54      65.09       8.55
           us-east-2c-m4.large      32.61      41.06       8.46
           us-east-2b-m4.large      32.13      40.59       8.45
           us-west-2a-r4.large      65.56      73.45       7.89
           us-east-2a-r4.large      37.03      44.76       7.73
           us-west-2a-m4.large      57.30      65.02       7.71
           us-west-2c-m4.large      57.38      65.02       7.63
           us-west-2b-m4.large      57.44      65.02       7.57
           us-east-2c-r4.large      33.14      40.22       7.08
           us-west-1a-r3.large      61.65      67.95       6.31
           us-east-2b-r4.large      34.05      40.30       6.25
          us-west-2b-m1.medium      13.61      18.79       5.18
           us-west-2c-c3.large      54.20      59.10       4.90
           us-west-2b-c3.large      54.99      58.97       3.98
           us-west-1b-m1.large      37.09      41.04       3.95
          us-west-2a-m1.medium      14.88      18.79       3.91
          us-west-2c-m1.medium      15.43      18.79       3.36
           us-west-2a-c3.large      56.46      58.97       2.51
         us-west-1a-c4.4xlarge     597.31     599.82       2.51
           us-east-1b-m3.large      59.50      61.99       2.49
           us-west-1b-r3.large      60.39      61.99       1.60
           us-east-2b-r3.large      40.83      41.64       0.81
          us-west-2a-p2.xlarge     718.28     718.50       0.22
           us-west-2a-m1.small       9.34       9.50       0.16
           us-east-2c-r3.large      42.10      42.08      -0.02
           us-west-2c-m1.small       9.84       9.50      -0.34
          us-west-2c-m4.xlarge     130.90     130.44      -0.45
          us-west-1b-m1.medium      21.01      20.52      -0.49
         us-west-1a-r4.2xlarge     298.89     298.18      -0.71
         us-east-2b-r4.2xlarge     161.53     160.70      -0.83
           us-west-2b-m1.small      10.34       9.50      -0.83
           us-east-2a-c4.large      43.44      41.45      -1.99
          us-west-1a-m1.medium      23.23      20.52      -2.71
           us-west-1b-m3.large      62.76      59.18      -3.58
           us-west-1a-m3.large      63.14      59.18      -3.96
          us-west-1b-c1.medium      41.22      36.77      -4.45
           us-west-1b-t1.micro      10.35       5.52      -4.84
           us-west-1a-t1.micro      10.96       5.97      -4.99
          us-west-2b-m3.medium      19.72      14.47      -5.24
          us-west-2a-m3.medium      19.72      14.47      -5.25
          us-west-2c-m3.medium      19.78      14.48      -5.30
           us-east-2a-r3.large      48.45      42.68      -5.77
           us-west-2b-r4.large      77.12      70.96      -6.16
          us-west-2b-m4.xlarge     136.29     130.12      -6.17
         us-west-2a-g2.2xlarge     565.30     559.12      -6.18
           us-west-2a-t1.micro      10.85       4.32      -6.53
          us-east-1b-m3.medium      21.03      14.47      -6.56
           us-west-2c-r3.large      72.53      65.91      -6.62
           us-west-2c-t1.micro      11.12       4.32      -6.80
           us-west-2b-t1.micro      11.28       4.32      -6.96
           us-west-2a-r3.large      72.34      65.00      -7.34
          us-west-1b-m1.xlarge      89.25      81.86      -7.38
           us-west-2b-r3.large      72.24      64.80      -7.44
          us-west-1b-m3.medium      25.51      17.13      -8.38
          us-west-1a-m3.medium      25.06      16.63      -8.43
          us-west-2b-c1.medium      46.33      36.93      -9.40
           us-west-1b-m1.small      21.31      10.15     -11.15
          us-west-1a-c1.medium      43.18      31.97     -11.21
           us-west-2c-r4.large      87.19      75.01     -12.18
         us-east-2a-r3.2xlarge     167.05     153.84     -13.22
           us-east-1a-t1.micro      18.15       4.90     -13.25
          us-east-2a-r3.xlarge      91.54      77.87     -13.67
         us-west-1b-c4.4xlarge     561.10     546.90     -14.20
         us-west-1b-m4.2xlarge     270.48     256.13     -14.36
        us-west-2b-m4.16xlarge    2113.06    2098.33     -14.72
          us-west-2c-c1.medium      46.33      30.40     -15.92
          us-west-2a-c1.medium      46.33      29.85     -16.48
          us-east-2c-r3.xlarge      93.60      76.46     -17.13
          us-west-2c-p2.xlarge     732.09     714.36     -17.73
         us-west-1a-m4.2xlarge     327.25     307.42     -19.83
           us-west-1a-m1.small      31.13      10.15     -20.98
        us-west-2b-cc2.8xlarge    1122.53    1101.35     -21.18
         us-west-2c-m4.2xlarge     284.54     261.71     -22.83
         us-west-1b-i2.8xlarge    4885.58    4862.69     -22.89
          us-east-1b-i3.xlarge     256.70     231.56     -25.15
          us-east-1b-m1.xlarge     102.46      75.60     -26.86
         us-west-2c-c3.4xlarge     546.43     518.70     -27.73
          us-west-2c-m1.xlarge     104.53      75.60     -28.93
          us-west-2a-m1.xlarge     105.42      75.60     -29.82
          us-west-2b-m1.xlarge     105.61      75.60     -30.01
         us-west-2c-r3.4xlarge     674.58     644.49     -30.08
          us-west-2a-m4.xlarge     161.14     130.24     -30.90
           us-west-1a-m1.large      72.57      41.04     -31.53
         us-west-2c-c4.2xlarge     315.23     283.66     -31.57
         us-west-2c-c3.2xlarge     275.66     244.04     -31.62
         us-west-1a-c4.8xlarge    1155.30    1122.78     -32.52
         us-west-2a-m4.2xlarge     303.36     270.63     -32.73
         us-west-2b-m4.2xlarge     298.48     263.97     -34.51
         us-east-1b-i3.2xlarge     466.85     432.30     -34.55
         us-east-1b-m3.2xlarge     285.92     250.38     -35.53
          us-east-1b-m1.medium      54.64      18.79     -35.84
          us-west-2c-c4.xlarge     163.21     126.39     -36.82
          us-west-2b-c4.xlarge     164.91     124.82     -40.08
         us-east-2b-r3.2xlarge     194.48     153.59     -40.89
          us-west-2a-r4.xlarge     192.68     151.73     -40.95
          us-west-2c-c1.xlarge     192.45     150.38     -42.07
         us-west-1b-r4.2xlarge     366.81     322.57     -44.24
         us-east-2c-r3.2xlarge     198.97     154.26     -44.70
          us-west-2b-c1.xlarge     188.61     143.48     -45.13
          us-east-1b-c1.medium      73.98      28.10     -45.88
          us-west-1a-m2.xlarge     105.67      59.40     -46.27
          us-west-2a-c4.xlarge     173.09     125.04     -48.06
         us-west-2b-c4.2xlarge     301.34     252.11     -49.23
         us-west-2a-r3.4xlarge     701.89     649.20     -52.70
         us-west-2b-c3.2xlarge     296.83     243.52     -53.31
         us-west-1b-r3.2xlarge     358.09     302.15     -55.94
          us-west-2b-r4.xlarge     223.67     165.63     -58.03
          us-east-1b-m2.xlarge     157.48      97.57     -59.91
         us-west-1a-r3.2xlarge     363.12     301.77     -61.35
           us-east-1a-c4.large     123.98      61.99     -61.99
         us-west-2b-c3.4xlarge     596.87     531.93     -64.93
          us-east-2c-i3.xlarge     268.49     202.18     -66.31
           us-east-1b-m1.large     105.36      37.80     -67.56
        us-east-1b-cr1.8xlarge     945.33     877.39     -67.94
