                          name     before      after      delta
         us-west-2c-r4.8xlarge   13187.01    1317.66  -11869.35
         us-east-1a-i3.2xlarge   13478.40    1347.84  -12130.56
         us-west-2a-i3.8xlarge   14273.14    1618.27  -12654.88
        us-west-2b-cr1.8xlarge   13976.80     843.95  -13132.85
        us-west-2b-m4.10xlarge   14637.60    1326.24  -13311.36
         us-east-1a-r3.2xlarge   15120.00    1436.40  -13683.60
        us-west-1a-m4.16xlarge   15891.57    2102.48  -13789.09
         us-west-1b-g3.4xlarge   15831.80    1064.15  -14767.65
         us-east-1a-m2.4xlarge   17104.40    1583.22  -15521.18
         us-west-2c-g2.8xlarge   17757.37    1953.68  -15803.69
         us-east-1a-c3.4xlarge   18144.00    1814.40  -16329.60
        us-west-2c-x1.32xlarge   25346.53    8643.02  -16703.51
         us-east-1a-f1.2xlarge   19021.74    1394.89  -17626.85
         us-east-1a-d2.2xlarge   18772.33     894.24  -17878.09
         us-west-2a-r4.8xlarge   21078.95    1335.35  -19743.61
        us-west-2c-r4.16xlarge   23494.19    2830.19  -20664.00
         us-east-2c-i3.4xlarge   22258.53     918.16  -21340.37
         us-west-2b-i3.8xlarge   24378.25    1633.24  -22745.01
         us-east-1a-i3.4xlarge   26956.80    2695.68  -24261.12
        us-west-1a-r4.16xlarge   32046.00    5536.62  -26509.38
         us-east-1a-r3.4xlarge   30240.00    2872.80  -27367.20
        us-west-2b-r4.16xlarge   31250.63    2269.41  -28981.22
        us-west-2b-g3.16xlarge   32627.41    3595.91  -29031.50
        us-west-2c-g3.16xlarge   34081.16    3562.80  -30518.36
         us-west-2b-p2.8xlarge   35800.63    4999.08  -30801.55
        us-west-2a-g3.16xlarge   35305.23    3479.84  -31825.38
         us-east-1a-c3.8xlarge   36288.00    3628.80  -32659.20
        us-east-2a-x1.16xlarge   37775.36    4746.68  -33028.68
        us-west-1b-r4.16xlarge   35505.51    2325.29  -33180.22
         us-east-1a-d2.4xlarge   39460.45    1788.48  -37671.97
        us-west-2b-i3.16xlarge   41091.91    3234.82  -37857.10
        us-east-1a-x1.32xlarge   49097.82    8643.02  -40454.79
         us-west-1b-g2.8xlarge   48959.00    4728.40  -44230.59
         us-west-1a-g2.8xlarge   48382.50    3514.32  -44868.18
        us-west-1b-i3.16xlarge   52920.75    8018.52  -44902.24
         us-east-2a-i3.8xlarge   47987.25    2692.17  -45295.08
         us-east-2c-p2.8xlarge   51393.08    5196.69  -46196.39
         us-west-1b-g3.8xlarge   51512.84    5262.06  -46250.78
         us-east-2b-i3.8xlarge   49755.15    2337.17  -47417.99
         us-east-2c-i3.8xlarge   49762.30    2176.12  -47586.18
         us-east-1a-i3.8xlarge   53913.60    5391.36  -48522.24
        us-west-2a-r4.16xlarge   53621.73    2277.00  -51344.73
        us-west-2a-i3.16xlarge   54696.45    3246.47  -51449.98
        us-east-2c-x1.32xlarge   60169.59    8643.02  -51526.56
        us-east-1b-i3.16xlarge   57072.36    3240.59  -53831.77
         us-east-1a-r3.8xlarge   60480.00    5745.60  -54734.40
         us-west-1a-g3.8xlarge   64566.86    6626.88  -57939.98
        us-west-2a-cr1.8xlarge   72286.27    7560.00  -64726.27
        us-west-2c-cr1.8xlarge   72286.27    7560.00  -64726.27
        us-east-2a-x1.32xlarge   74414.60    8643.02  -65771.58
         us-east-2b-p2.8xlarge   72969.20    4747.20  -68221.99
        us-west-1b-g3.16xlarge   81822.52   12833.77  -68988.75
        us-west-2a-x1.16xlarge   81521.02    4321.51  -77199.50
        us-west-1a-g3.16xlarge   87345.24    9531.45  -77813.79
        us-east-2a-g3.16xlarge   95412.50    9849.60  -85562.90
        us-east-2b-g3.16xlarge   95585.37    9849.60  -85735.77
        us-east-2c-g3.16xlarge   95585.37    3820.88  -91764.49
        us-east-1a-i3.16xlarge  107827.20   10782.72  -97044.48
         us-west-2c-p2.8xlarge  104132.78    5548.19  -98584.60
        us-west-2c-p2.16xlarge  123777.81   23332.24 -100445.57
        us-east-2c-i3.16xlarge  107827.20    6765.90 -101061.30
        us-east-2a-i3.16xlarge  107827.20    6390.40 -101436.80
        us-east-2b-i3.16xlarge  107827.20    5886.18 -101941.02
        us-east-2c-x1.16xlarge  108039.86    4392.60 -103647.27
         us-west-2a-p2.8xlarge  118845.30    8136.73 -110708.57
         us-east-2a-p2.8xlarge  116400.01    4914.51 -111485.50
        us-east-2b-x1.16xlarge  140422.99    4657.03 -135765.96
         us-east-1a-p2.8xlarge  155520.00   15552.00 -139968.00
        us-west-2b-p2.16xlarge  179183.46   14342.59 -164840.87
        us-west-2b-x1.32xlarge  183421.92    8658.36 -174763.56
        us-east-1b-f1.16xlarge  189925.04   12555.49 -177369.55
        us-west-2a-x1.32xlarge  199293.77    9085.70 -190208.07
        us-east-2b-x1.32xlarge  227075.65   28810.08 -198265.57
        us-east-1a-f1.16xlarge  252887.21   28512.00 -224375.21
        us-west-2a-p2.16xlarge  260872.70   31104.00 -229768.70
        us-east-1a-p2.16xlarge  311040.00   31104.00 -279936.00
        us-east-2a-p2.16xlarge  311040.00   18620.87 -292419.13
        us-east-2b-p2.16xlarge  311040.00   17359.18 -293680.82
        us-east-2c-p2.16xlarge  311040.00    9461.34 -301578.66
